param,sample_avg,sample_std,follow_avg,follow_std
1,0.0163365387917,0.00357962147599,0.000727654933929,0.000132814773252
2,0.0149359538555,0.00273698047882,0.000700296640396,0.000101108716467
3,0.0149048900604,0.00256061953426,0.000791421890259,0.000245065662912
4,0.014818215847,0.00273851873829,0.00075128030777,0.000177124390037
5,0.0137988705635,0.0015242125616,0.000864345788956,0.000244632139188
6,0.0176681632996,0.00385251386803,0.00101977658272,0.00044599744725
7,0.0196812143326,0.00610344349997,0.00175886178017,0.000679773194537
8,0.0144479913712,0.00296022012546,0.000722544908524,0.000136498344711
9,0.0133442070484,0.00155859498869,0.00101549005508,0.000335579258465
10,0.0136990873814,0.00163842051467,0.000742602348328,0.000165510082478
